20250711135420,850  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-38000,  limitPrice:700,  orderSysID:    71345537,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:2.02,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:135405,  orderID:2147483647,  orderPriceType:50,  direction:48,  offsetFlag:49,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P38000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711135458,398  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-38000,  limitPrice:650,  orderSysID:,  trtradedVolume:0,  totalVolume:2,  frozeMargin:0,  frozenCommission:4.04,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250711,  insertTime:135442,  orderID:2147483647,  orderPriceType:50,  direction:48,  offsetFlag:49,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P38000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711135458,443  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-38000,  limitPrice:650,  orderSysID:    71375797,  trtradedVolume:0,  totalVolume:2,  frozeMargin:0,  frozenCommission:4.04,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:135442,  orderID:2147483647,  orderPriceType:50,  direction:48,  offsetFlag:49,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P38000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711135502,847  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-38000,  limitPrice:600,  orderSysID:,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:2.02,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250711,  insertTime:135446,  orderID:2147483647,  orderPriceType:50,  direction:48,  offsetFlag:49,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P38000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711135502,874  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps_o,  instrumentID:ps2509-P-38000,  limitPrice:600,  orderSysID:    71378784,  trtradedVolume:0,  totalVolume:1,  frozeMargin:0,  frozenCommission:2.02,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:135447,  orderID:2147483647,  orderPriceType:50,  direction:48,  offsetFlag:49,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:ps2509P38000,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144022,615  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40705,  orderSysID:,  trtradedVolume:0,  totalVolume:1,  frozeMargin:10990.4,  frozenCommission:12.33,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250711,  insertTime:144006,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144022,659  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40705,  orderSysID:    74183131,  trtradedVolume:0,  totalVolume:1,  frozeMargin:10990.4,  frozenCommission:12.33,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:144007,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144047,878  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40700,  orderSysID:,  trtradedVolume:0,  totalVolume:1,  frozeMargin:10989,  frozenCommission:12.33,  averagePrice:1.79769e+308,  tradeAmount:0,  errorID:0,  errorMsg:报单已提交,  inserDate:20250711,  insertTime:144031,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:48,  orderStatus:48,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144047,908  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40700,  orderSysID:    74197670,  trtradedVolume:0,  totalVolume:1,  frozeMargin:10989,  frozenCommission:12.33,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:未成交,  inserDate:20250711,  insertTime:144032,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:50,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
20250711144051,789  onRtnOrderDetail  accountID:8000138,  accountType:1,  exchangID:GFEX,  productID:ps,  instrumentID:ps2509,  limitPrice:40700,  orderSysID:    74197670,  trtradedVolume:1,  totalVolume:1,  frozeMargin:0,  frozenCommission:0,  averagePrice:0,  tradeAmount:0,  errorID:0,  errorMsg:全部成交,  inserDate:20250711,  insertTime:144032,  orderID:2147483647,  orderPriceType:50,  direction:49,  offsetFlag:48,  hedgeFlag:49,  orderSubmitStatus:51,  orderStatus:56,  entrustType:48,  coveredFlag:48,  remark:,  cancelInfo:,  instrumnetName:多晶硅2509,  accountKey:1____20001____0268_1711____-1____8000138____
