000049.SZ,000049.SZ,20040211,1,
000049.SZ,000049.SZ,20050316,0,
000056.SZ,000056.SZ,20120423,2,
000056.SZ,000056.SZ,20140331,0,
000058.SZ,000058.SZ,20070427,2,
000058.SZ,000058.SZ,20080520,1,
000058.SZ,000058.SZ,20090630,0,
000059.SZ,000059.SZ,20150415,2,
000059.SZ,000059.SZ,20160420,0,
000068.SZ,000068.SZ,20100401,1,
000068.SZ,000068.SZ,20130521,0,
000068.SZ,000068.SZ,20150325,2,
000068.SZ,000068.SZ,20160412,0,
000070.SZ,000070.SZ,20240514,1,
000100.SZ,000100.SZ,20070508,2,
000100.SZ,000100.SZ,20080328,0,
000150.SZ,000150.SZ,20020430,1,
000150.SZ,000150.SZ,20040324,2,
000150.SZ,000150.SZ,20050330,0,
000150.SZ,000150.SZ,20070404,0,
000150.SZ,000150.SZ,20080515,0,
000150.SZ,000150.SZ,20220506,2,
000155.SZ,000155.SZ,20120427,2,
000155.SZ,000155.SZ,20130606,0,
000155.SZ,000155.SZ,20150402,1,
000155.SZ,000155.SZ,20150504,2,
000155.SZ,000155.SZ,20171218,0,
000156.SZ,000156.SZ,20050322,2,
000156.SZ,000156.SZ,20121019,0,
000403.SZ,000403.SZ,20060509,2,
000403.SZ,000403.SZ,20141107,1,
000403.SZ,000403.SZ,20181122,0,
000405.SZ,000405.SZ,20020417,1,
000408.SZ,000408.SZ,20060509,2,
000408.SZ,000408.SZ,20071031,1,
000408.SZ,000408.SZ,20100428,2,
000408.SZ,000408.SZ,20110526,1,
000408.SZ,000408.SZ,20121128,0,
000408.SZ,000408.SZ,20160428,2,
000408.SZ,000408.SZ,20170523,0,
000408.SZ,000408.SZ,20200506,2,
000408.SZ,000408.SZ,20210512,0,
000409.SZ,000409.SZ,20030401,1,
000409.SZ,000409.SZ,20030512,2,
000409.SZ,000409.SZ,20060609,1,
000409.SZ,000409.SZ,20080428,2,
000409.SZ,000409.SZ,20090421,1,
000409.SZ,000409.SZ,20110503,2,
000409.SZ,000409.SZ,20120523,1,
000409.SZ,000409.SZ,20130403,0,
000409.SZ,000409.SZ,20180625,2,
000409.SZ,000409.SZ,20190926,1,
000409.SZ,000409.SZ,20210412,0,
000410.SZ,000410.SZ,20170503,2,
000410.SZ,000410.SZ,20180301,0,
000410.SZ,000410.SZ,20190820,2,
000410.SZ,000410.SZ,20210624,1,
000410.SZ,000410.SZ,20220419,2,
000410.SZ,000410.SZ,20230523,0,
000411.SZ,000411.SZ,20000407,1,
000411.SZ,000411.SZ,20010423,3,
000411.SZ,000411.SZ,20020625,1,
000411.SZ,000411.SZ,20050513,0,
000412.SZ,000412.SZ,20020430,1,
000413.SZ,000413.SZ,19980504,1,
000413.SZ,000413.SZ,20000427,0,
000413.SZ,000413.SZ,20070411,2,
000413.SZ,000413.SZ,20080423,0,
000413.SZ,000413.SZ,20240709,1,
000415.SZ,000415.SZ,20100316,2,
000415.SZ,000415.SZ,20110408,1,
000415.SZ,000415.SZ,20111026,0,
000416.SZ,000416.SZ,20010430,1,
000416.SZ,000416.SZ,20020207,0,
000416.SZ,000416.SZ,20230427,2,
000418.SZ,000418.SZ,20030430,1,
000418.SZ,000418.SZ,20030512,2,
000418.SZ,000418.SZ,20040512,0,
000420.SZ,000420.SZ,20120228,2,
000420.SZ,000420.SZ,20130426,0,
000422.SZ,000422.SZ,20180424,2,
000422.SZ,000422.SZ,20190426,1,
000422.SZ,000422.SZ,20210611,0,
000430.SZ,000430.SZ,20010427,1,
000430.SZ,000430.SZ,20020307,0,
000430.SZ,000430.SZ,20070312,0,
000430.SZ,000430.SZ,20080522,0,
000430.SZ,000430.SZ,20100208,2,
000430.SZ,000430.SZ,20110413,1,
000430.SZ,000430.SZ,20120425,0,
000430.SZ,000430.SZ,20250417,1,
000488.SZ,000488.SZ,20250221,1,
000498.SZ,000498.SZ,20030416,1,
000498.SZ,000498.SZ,20030512,2,
000498.SZ,000498.SZ,20040323,0,
000498.SZ,000498.SZ,20070420,2,
000498.SZ,000498.SZ,20130506,0,
000502.SZ,000502.SZ,19990504,1,
000502.SZ,000502.SZ,20010323,0,
000502.SZ,000502.SZ,20210506,2,
000502.SZ,000502.SZ,20220606,0,
000503.SZ,000503.SZ,19980615,1,
000503.SZ,000503.SZ,20000321,0,
000504.SZ,000504.SZ,20000419,1,
000504.SZ,000504.SZ,20010309,0,
000504.SZ,000504.SZ,20100423,2,
000504.SZ,000504.SZ,20110517,1,
000504.SZ,000504.SZ,20131029,2,
000504.SZ,000504.SZ,20150331,0,
000504.SZ,000504.SZ,20160426,2,
000504.SZ,000504.SZ,20170512,0,
000504.SZ,000504.SZ,20190506,2,
000504.SZ,000504.SZ,20200612,1,
000504.SZ,000504.SZ,20210428,0,
000504.SZ,000504.SZ,20250430,2,
000505.SZ,000505.SZ,20030429,1,
000505.SZ,000505.SZ,20030512,2,
000505.SZ,000505.SZ,20040430,1,
000505.SZ,000505.SZ,20060426,2,
000505.SZ,000505.SZ,20070606,0,
000505.SZ,000505.SZ,20090429,2,
000505.SZ,000505.SZ,20100603,1,
000505.SZ,000505.SZ,20130329,2,
000505.SZ,000505.SZ,20140416,0,
000505.SZ,000505.SZ,20160426,2,
000505.SZ,000505.SZ,20170519,0,
000506.SZ,000506.SZ,19980430,1,
000506.SZ,000506.SZ,20010213,0,
000506.SZ,000506.SZ,20060509,2,
000506.SZ,000506.SZ,20090605,1,
000506.SZ,000506.SZ,20100402,0,
000506.SZ,000506.SZ,20240506,2,
000506.SZ,000506.SZ,20250605,0,
000507.SZ,000507.SZ,19990422,1,
000507.SZ,000507.SZ,20000426,0,
000509.SZ,000509.SZ,20060321,2,
000509.SZ,000509.SZ,20080310,0,
000509.SZ,000509.SZ,20100323,0,
000509.SZ,000509.SZ,20111026,0,
000509.SZ,000509.SZ,20130502,0,
