,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
20250604110300,1749006180000,99.5,99.5,99.5,99.5,0,0.0,0.0,5642,99.5,0
20250604110400,1749006240000,99.5,99.5,99.5,99.5,0,0.0,0.0,5642,99.5,0
20250604110500,1749006300000,101.5,102.0,101.5,102.0,21,9870.0,0.0,5647,99.5,0
20250604110600,1749006360000,102.0,102.0,102.0,102.0,0,0.0,0.0,5647,102.0,0
20250604110700,1749006420000,101.0,101.0,101.0,101.0,10,4700.0,0.0,5647,102.0,0
20250604110800,1749006480000,101.0,101.0,100.0,100.0,21,9870.0,0.0,5626,101.0,0
20250604110900,1749006540000,100.0,100.0,100.0,100.0,1,470.0,0.0,5625,100.0,0
20250604111000,1749006600000,100.0,100.0,100.0,100.0,0,0.0,0.0,5625,100.0,0
20250604111100,1749006660000,100.0,100.5,100.0,100.5,20,9400.0,0.0,5614,100.0,0
20250604111200,1749006720000,100.5,100.5,100.5,100.5,7,3290.0,0.0,5607,100.5,0
20250604111300,1749006780000,100.5,100.5,100.5,100.5,0,0.0,0.0,5607,100.5,0
20250604111400,1749006840000,100.5,100.5,100.5,100.5,0,0.0,0.0,5607,100.5,0
20250604111500,1749006900000,101.5,101.5,100.5,101.5,13,6110.0,0.0,5613,100.5,0
20250604111600,1749006960000,101.5,101.5,101.5,101.5,0,0.0,0.0,5613,101.5,0
20250604111700,1749007020000,101.5,101.5,101.5,101.5,0,0.0,0.0,5613,101.5,0
20250604111800,1749007080000,101.5,101.5,101.5,101.5,0,0.0,0.0,5613,101.5,0
20250604111900,1749007140000,101.0,101.0,99.5,99.5,29,13630.0,0.0,5599,101.5,0
20250604112000,1749007200000,99.0,99.0,99.0,99.0,62,29140.0,0.0,5599,99.5,0
20250604112100,1749007260000,98.0,99.0,98.0,98.5,7,3290.0,0.0,5600,99.0,0
20250604112200,1749007320000,98.0,98.0,98.0,98.0,18,8460.0,0.0,5600,98.5,0
20250604112300,1749007380000,98.0,98.0,98.0,98.0,2,940.0,0.0,5600,98.0,0
20250604112400,1749007440000,97.0,97.0,95.5,96.0,21,9870.0,0.0,5599,98.0,0
20250604112500,1749007500000,94.0,94.5,94.0,94.5,164,77080.0,0.0,5570,96.0,0
20250604112600,1749007560000,94.5,96.5,94.5,96.5,4,1880.0,0.0,5567,94.5,0
20250604112700,1749007620000,97.0,97.0,97.0,97.0,20,18440.0,0.0,5567,96.5,0
20250604112800,1749007680000,97.0,97.0,97.0,97.0,35,16537.0,0.0,5567,97.0,0
20250604112900,1749007740000,97.0,97.0,97.0,97.0,0,0.0,0.0,5567,97.0,0
20250604113000,1749007800000,100.5,100.5,100.5,100.5,5,2362.0,0.0,5567,97.0,0
20250604133100,1749015060000,103.5,104.5,103.5,104.5,38,17955.0,0.0,5567,100.5,0
20250604133200,1749015120000,104.0,106.0,103.0,106.0,26,12285.0,0.0,5571,104.5,0
20250604133300,1749015180000,104.0,104.0,104.0,104.0,14,6615.0,0.0,5561,106.0,0
20250604133400,1749015240000,105.0,105.0,105.0,105.0,8,3780.0,0.0,5559,104.0,0
20250604133500,1749015300000,105.0,105.0,105.0,105.0,94,54005.0,0.0,5559,105.0,0
20250604133600,1749015360000,105.0,105.0,105.0,105.0,3,1425.0,0.0,5559,105.0,0
20250604133700,1749015420000,105.5,105.5,105.0,105.0,19,9025.0,0.0,5561,105.0,0
20250604133800,1749015480000,105.5,106.0,105.0,105.0,60,28500.0,0.0,5573,105.0,0
20250604133900,1749015540000,105.0,105.0,102.5,104.0,56,26600.0,0.0,5571,105.0,0
20250604134000,1749015600000,102.0,102.0,100.0,100.0,36,17100.0,0.0,5561,104.0,0
20250604134100,1749015660000,101.0,101.0,101.0,101.0,24,11400.0,0.0,5548,100.0,0
20250604134200,1749015720000,100.0,100.0,99.0,99.0,24,11400.0,0.0,5527,101.0,0
20250604134300,1749015780000,99.0,100.0,99.0,100.0,20,19695.0,0.0,5515,99.0,0
20250604134400,1749015840000,99.5,99.5,99.0,99.0,8,3820.0,0.0,5514,100.0,0
20250604134500,1749015900000,99.0,99.5,99.0,99.5,2,955.0,0.0,5514,99.0,0
20250604134600,1749015960000,99.5,99.5,99.5,99.5,0,0.0,0.0,5514,99.5,0
20250604134700,1749016020000,100.5,100.5,100.5,100.5,4,1910.0,0.0,5510,99.5,0
20250604134800,1749016080000,101.5,101.5,101.5,101.5,5,2387.0,0.0,5505,100.5,0
20250604134900,1749016140000,101.0,101.5,100.0,100.0,11,5252.0,0.0,5504,101.5,0
20250604135000,1749016200000,100.0,100.0,100.0,100.0,0,0.0,0.0,5504,100.0,0
20250604135100,1749016260000,100.0,100.0,100.0,100.0,1,477.0,0.0,5504,100.0,0
20250604135200,1749016320000,100.0,100.0,100.0,100.0,0,0.0,0.0,5504,100.0,0
20250604135300,1749016380000,100.0,100.0,100.0,100.0,0,0.0,0.0,5504,100.0,0
20250604135400,1749016440000,100.0,100.0,100.0,100.0,0,0.0,0.0,5504,100.0,0
20250604135500,1749016500000,101.5,101.5,101.0,101.0,11,5252.0,0.0,5504,100.0,0
20250604135600,1749016560000,101.0,101.0,101.0,101.0,0,0.0,0.0,5504,101.0,0
20250604135700,1749016620000,101.0,101.0,101.0,101.0,0,0.0,0.0,5504,101.0,0
20250604135800,1749016680000,101.0,101.0,101.0,101.0,0,0.0,0.0,5504,101.0,0
20250604135900,1749016740000,101.0,101.0,101.0,101.0,0,0.0,0.0,5504,101.0,0
20250604140000,1749016800000,97.5,97.5,97.0,97.0,24,11460.0,0.0,5504,101.0,0
20250604140100,1749016860000,99.0,99.0,97.0,97.0,4,1910.0,0.0,5506,97.0,0
20250604140200,1749016920000,97.0,97.0,97.0,97.0,0,0.0,0.0,5506,97.0,0
20250604140300,1749016980000,96.5,96.5,96.5,96.5,4,1910.0,0.0,5506,97.0,0
20250604140400,1749017040000,96.5,96.5,96.5,96.5,0,0.0,0.0,5506,96.5,0
20250604140500,1749017100000,96.5,96.5,96.5,96.5,2,955.0,0.0,5506,96.5,0
20250604140600,1749017160000,96.5,96.5,95.5,95.5,3,1432.0,0.0,5506,96.5,0
20250604140700,1749017220000,95.0,95.0,93.0,93.5,30,14325.0,0.0,5506,95.5,0
20250604140800,1749017280000,92.5,92.5,91.0,91.0,16,7640.0,0.0,5504,93.5,0
20250604140900,1749017340000,92.0,92.0,92.0,92.0,4,1910.0,0.0,5500,91.0,0
